,#,team,gp,w,l,win%,min,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,+/-,season
114,28,Cleveland Cavaliers,82,17,65,0.207,48.4,91.4,34.8,82.3,42.2,3.6,10.9,32.7,18.3,24.5,74.7,13.6,31.0,44.6,20.9,18.3,7.8,6.4,6.0,22.7,0.1,-9.6,'02-03
115,28,Denver Nuggets,82,17,65,0.207,48.1,84.2,32.8,79.8,41.1,2.8,10.0,27.8,15.8,22.6,69.9,13.6,28.8,42.4,21.2,18.5,8.7,5.1,6.6,25.1,0.1,-8.3,'02-03
116,1,Indiana Pacers,82,61,21,0.744,48.3,91.4,33.6,77.1,43.5,5.5,15.6,35.1,18.8,24.6,76.4,11.8,29.9,41.7,21.6,14.4,8.9,5.0,6.2,20.8,0.1,5.8,'03-04
117,2,Minnesota Timberwolves,82,58,24,0.707,48.2,94.5,37.0,80.1,46.2,4.0,10.9,36.3,16.6,21.3,78.1,10.7,32.3,42.9,23.0,12.7,6.8,5.6,3.6,21.1,0.1,5.5,'03-04
118,3,San Antonio Spurs,82,57,25,0.695,48.2,91.5,34.7,78.5,44.2,5.0,13.9,35.8,17.2,25.2,68.1,12.5,32.5,45.1,20.4,14.7,8.1,6.5,4.6,20.3,0.0,7.2,'03-04
119,4,Los Angeles Lakers,82,56,26,0.683,48.4,98.2,36.9,81.4,45.4,4.5,13.6,32.7,19.9,28.7,69.3,12.2,30.9,43.1,23.8,13.8,8.3,4.6,3.8,21.1,0.1,3.9,'03-04
120,5,Sacramento Kings,82,55,27,0.671,48.2,102.8,37.8,81.8,46.2,7.3,18.3,40.1,19.8,24.9,79.5,10.8,30.4,41.2,26.2,13.9,8.7,4.0,5.0,19.3,0.0,5.0,'03-04
121,6,Detroit Pistons,82,54,28,0.659,48.2,90.1,33.5,77.0,43.5,4.1,11.8,34.4,19.0,25.3,75.3,12.4,30.4,42.8,20.8,15.1,8.0,7.0,5.0,20.3,0.0,5.8,'03-04
122,7,Dallas Mavericks,82,52,30,0.634,48.3,105.2,40.5,88.2,45.9,6.2,17.8,34.8,18.0,22.6,79.6,14.3,31.0,45.3,23.9,12.2,8.0,5.3,4.7,19.6,0.0,4.4,'03-04
123,8,Memphis Grizzlies,82,50,32,0.61,48.5,96.7,36.1,81.2,44.5,5.5,16.0,34.0,19.0,26.1,72.7,12.8,29.0,41.8,23.4,15.0,9.7,6.9,5.6,23.2,0.0,2.4,'03-04
124,9,New Jersey Nets,82,47,35,0.573,48.1,90.3,34.3,77.7,44.1,4.6,13.7,33.6,17.0,22.6,75.3,10.5,30.2,40.7,24.5,14.7,8.6,3.9,4.6,21.0,0.1,2.5,'03-04
125,10,Houston Rockets,82,45,37,0.549,48.6,89.8,33.4,75.5,44.2,6.3,17.1,36.6,16.7,21.6,77.3,10.3,32.3,42.6,19.3,16.7,6.8,5.4,4.4,21.5,0.0,1.7,'03-04
126,11,Denver Nuggets,82,43,39,0.524,48.1,97.2,36.5,82.5,44.3,4.0,12.0,33.6,20.2,26.3,76.7,13.2,29.1,42.3,21.9,15.6,9.1,6.3,5.8,22.0,0.1,1.1,'03-04
127,12,Miami Heat,82,42,40,0.512,48.2,90.3,33.3,78.3,42.5,5.9,16.5,35.7,17.8,23.4,76.2,11.5,30.0,41.5,19.1,13.9,7.2,3.8,5.4,22.1,0.0,0.5,'03-04
128,12,Utah Jazz,82,42,40,0.512,48.2,88.7,32.8,75.3,43.6,3.1,9.6,32.1,20.0,26.8,74.6,13.5,27.7,41.2,20.4,16.6,7.1,6.0,6.5,25.6,0.1,-1.2,'03-04
129,14,Milwaukee Bucks,82,41,41,0.5,48.2,98.0,36.2,81.1,44.7,4.9,14.0,35.0,20.7,26.7,77.5,11.7,30.5,42.2,22.8,13.5,6.8,4.7,5.0,20.3,0.0,1.1,'03-04
130,14,New Orleans Hornets,82,41,41,0.5,48.4,91.8,33.8,80.5,42.0,6.5,20.3,31.9,17.7,23.6,75.1,13.3,29.5,42.8,20.9,15.0,8.6,4.2,5.2,20.9,0.1,-0.1,'03-04
131,14,Portland Trail Blazers,82,41,41,0.5,48.7,90.7,35.3,78.9,44.8,4.6,13.4,34.6,15.4,21.1,73.1,12.7,29.0,41.7,21.6,14.8,7.5,5.4,4.8,19.0,0.0,-1.3,'03-04
132,17,New York Knicks,82,39,43,0.476,48.5,92.0,35.1,79.4,44.2,5.0,13.6,36.4,16.8,21.1,79.3,11.6,31.0,42.6,20.7,15.7,7.4,4.8,4.7,23.1,0.0,-1.5,'03-04
133,18,Golden State Warriors,82,37,45,0.451,48.4,93.3,35.1,79.4,44.2,5.2,15.6,33.4,17.9,24.7,72.5,12.2,30.9,43.1,20.5,14.8,7.0,4.7,5.1,20.6,0.0,-0.7,'03-04
134,18,Seattle SuperSonics,82,37,45,0.451,48.3,97.1,35.8,80.4,44.6,8.8,23.6,37.3,16.6,21.7,76.5,11.1,28.3,39.3,21.7,14.5,8.1,4.7,4.7,21.8,0.1,-0.6,'03-04
135,20,Boston Celtics,82,36,46,0.439,48.1,95.3,34.7,78.2,44.3,6.7,19.5,34.6,19.2,25.5,75.0,10.4,29.8,40.1,20.5,16.2,9.4,4.0,5.0,22.4,0.0,-1.5,'03-04
136,21,Cleveland Cavaliers,82,35,47,0.427,48.4,92.9,35.6,82.4,43.3,3.0,9.6,31.4,18.6,24.8,75.3,13.6,31.9,45.6,22.0,14.8,7.1,6.5,5.3,21.3,0.0,-2.6,'03-04
137,22,Philadelphia 76ers,82,33,49,0.402,48.4,88.0,32.7,76.3,42.8,4.1,12.1,34.2,18.4,24.5,75.3,11.5,29.4,40.8,20.0,15.9,8.0,4.4,5.6,20.7,0.0,-2.5,'03-04
138,22,Toronto Raptors,82,33,49,0.402,48.7,85.4,32.4,77.4,41.8,5.6,15.8,35.6,15.1,20.1,75.0,10.1,29.5,39.6,19.2,14.2,7.4,4.9,4.1,21.3,0.0,-3.0,'03-04
139,24,Phoenix Suns,82,29,53,0.354,48.1,94.2,36.1,81.4,44.3,5.1,14.7,34.5,17.0,22.7,74.6,11.3,29.3,40.6,19.3,15.2,9.0,4.7,5.3,22.7,0.0,-3.7,'03-04
140,25,Atlanta Hawks,82,28,54,0.341,48.5,92.8,34.5,79.6,43.3,5.1,15.2,33.5,18.7,24.1,77.6,12.1,30.6,42.7,20.1,16.5,7.6,5.0,5.1,22.3,0.0,-4.6,'03-04
141,25,Los Angeles Clippers,82,28,54,0.341,48.3,94.8,34.4,80.2,42.8,4.0,12.5,32.1,22.0,28.1,78.5,14.0,29.5,43.5,20.2,16.4,7.2,4.6,5.3,22.1,0.0,-4.6,'03-04
142,27,Washington Wizards,82,25,57,0.305,48.4,91.8,33.6,80.0,42.1,5.3,15.5,34.2,19.3,27.0,71.4,13.6,29.2,42.8,18.7,17.5,8.9,5.0,5.5,20.9,0.0,-5.6,'03-04
143,28,Chicago Bulls,82,23,59,0.28,48.4,89.7,34.1,82.4,41.4,5.2,15.3,34.2,16.2,22.4,72.5,12.8,30.7,43.5,21.9,16.1,8.0,4.8,5.4,23.3,0.0,-6.4,'03-04
144,29,Orlando Magic,82,21,61,0.256,48.4,94.0,35.4,82.5,42.9,5.2,15.2,34.4,18.0,24.4,73.7,12.2,28.7,40.9,19.3,13.7,6.7,3.8,5.5,21.3,0.0,-7.0,'03-04
145,1,Phoenix Suns,82,62,20,0.756,48.2,110.4,40.9,85.6,47.7,9.7,24.7,39.3,19.0,25.4,74.8,11.8,32.3,44.1,23.5,13.7,7.0,5.5,4.2,19.1,0.0,7.1,'04-05
146,2,Miami Heat,82,59,23,0.72,48.7,101.5,37.8,77.7,48.6,5.8,15.4,37.7,20.2,30.1,67.2,10.8,32.2,43.0,21.8,13.7,6.4,5.8,3.2,22.1,0.0,6.5,'04-05
147,2,San Antonio Spurs,82,59,23,0.72,48.3,96.2,35.6,78.7,45.3,6.2,17.0,36.3,18.7,25.9,72.4,12.0,30.4,42.4,21.6,13.7,7.5,6.6,5.1,20.9,0.0,7.8,'04-05
148,4,Dallas Mavericks,82,58,24,0.707,48.1,102.5,37.3,81.6,45.7,5.6,15.5,36.4,22.3,28.2,78.9,12.1,30.9,42.9,19.6,13.4,8.6,5.6,4.9,22.3,0.0,5.7,'04-05
149,5,Detroit Pistons,82,54,28,0.659,48.7,93.3,34.8,78.3,44.4,4.4,12.8,34.5,19.4,26.2,73.9,12.9,30.6,43.4,21.8,13.8,7.0,6.1,4.5,20.0,0.0,3.9,'04-05
150,6,Seattle SuperSonics,82,52,30,0.634,48.2,98.9,35.1,79.2,44.4,8.1,22.2,36.5,20.5,26.0,79.0,12.7,28.2,40.9,18.1,13.6,6.7,4.1,4.8,23.7,0.1,2.3,'04-05
151,7,Houston Rockets,82,51,31,0.622,48.4,95.1,34.7,78.3,44.3,6.7,18.5,36.4,18.9,24.2,78.1,10.7,31.7,42.4,21.1,13.8,6.9,4.6,4.1,22.0,0.0,4.0,'04-05
152,8,Sacramento Kings,82,50,32,0.61,48.4,103.7,39.1,85.1,45.9,6.4,17.0,37.4,19.2,24.4,78.7,12.5,29.9,42.4,24.5,13.1,8.2,3.9,4.5,20.5,0.0,2.2,'04-05
153,9,Denver Nuggets,82,49,33,0.598,48.2,99.5,37.0,80.7,45.9,3.9,11.5,34.0,21.5,28.2,76.3,11.8,30.2,42.0,23.9,14.9,9.1,6.0,5.6,22.9,0.1,2.0,'04-05
154,10,Chicago Bulls,82,47,35,0.573,48.4,94.5,34.7,80.4,43.2,6.2,17.5,35.7,18.7,25.0,75.0,12.2,31.6,43.8,21.3,16.7,7.0,4.5,5.3,24.7,0.1,1.1,'04-05
155,11,Boston Celtics,82,45,37,0.549,48.5,101.3,37.1,79.4,46.8,5.3,15.3,34.9,21.6,28.3,76.4,11.1,29.7,40.8,22.1,15.8,8.1,5.2,4.9,24.4,0.0,0.9,'04-05
156,11,Memphis Grizzlies,82,45,37,0.549,48.1,93.4,34.2,76.5,44.7,6.5,18.1,35.7,18.6,24.7,75.4,10.8,28.1,39.0,20.9,14.6,8.5,5.8,5.8,23.3,0.0,2.3,'04-05
157,11,Washington Wizards,82,45,37,0.549,48.2,100.5,36.2,82.9,43.7,6.3,18.3,34.3,21.9,30.2,72.5,13.8,29.0,42.8,19.1,14.3,8.7,4.2,5.0,22.0,0.0,-0.3,'04-05
158,14,Indiana Pacers,82,44,38,0.537,48.5,93.0,32.5,75.2,43.2,6.6,19.2,34.4,21.3,26.9,79.2,10.6,29.5,40.1,18.2,14.3,7.5,4.4,4.9,23.0,0.1,0.8,'04-05
159,14,Minnesota Timberwolves,82,44,38,0.537,48.2,96.8,37.1,80.8,45.9,4.8,14.0,34.5,17.7,22.2,79.6,11.5,31.5,43.0,23.4,13.2,5.6,5.5,3.9,21.6,0.0,1.5,'04-05
160,16,Philadelphia 76ers,82,43,39,0.524,48.4,99.1,35.9,82.1,43.7,6.2,17.7,34.8,21.1,26.8,78.9,11.1,30.9,42.0,20.9,15.5,9.2,3.9,4.7,22.9,0.0,-0.7,'04-05
161,17,Cleveland Cavaliers,82,42,40,0.512,48.4,96.5,36.5,81.5,44.7,3.7,11.0,33.2,19.9,26.5,75.2,13.6,28.7,42.3,22.6,13.9,8.0,5.6,5.1,22.6,0.0,0.8,'04-05
162,17,New Jersey Nets,82,42,40,0.512,48.5,91.4,33.6,78.3,42.9,5.3,14.7,36.2,19.0,24.9,76.3,10.4,29.1,39.5,21.6,14.2,7.9,3.8,4.9,24.2,0.0,-1.5,'04-05
163,19,Los Angeles Clippers,82,37,45,0.451,48.9,95.7,35.7,77.7,45.9,2.8,8.2,34.5,21.6,27.7,77.8,12.0,29.9,41.9,23.2,15.7,7.3,5.1,4.8,22.2,0.0,-0.8,'04-05
164,20,Orlando Magic,82,36,46,0.439,48.1,99.5,37.0,81.5,45.4,3.9,11.2,34.9,21.6,28.5,75.9,12.7,31.0,43.7,19.3,16.1,7.7,5.4,4.3,23.6,0.0,-2.2,'04-05
165,21,Golden State Warriors,82,34,48,0.415,48.5,98.7,36.9,85.8,43.0,7.6,21.6,35.2,17.2,23.8,72.2,13.0,29.7,42.7,22.1,13.6,7.8,5.1,5.1,22.4,0.0,-2.2,'04-05
166,21,Los Angeles Lakers,82,34,48,0.415,48.2,98.7,35.3,80.8,43.7,7.9,22.1,35.5,20.3,26.1,77.7,12.5,30.6,43.2,20.4,14.3,6.2,4.2,5.1,21.9,0.0,-3.0,'04-05
167,23,New York Knicks,82,33,49,0.402,48.5,97.3,36.3,80.5,45.1,5.4,15.1,35.6,19.3,25.1,76.7,11.8,29.2,41.0,20.3,14.7,7.7,3.2,4.7,23.7,0.1,-2.4,'04-05
168,23,Toronto Raptors,82,33,49,0.402,48.3,99.7,36.0,81.2,44.4,7.9,20.5,38.5,19.8,25.6,77.4,10.3,29.8,40.1,20.4,13.3,7.6,3.9,4.4,22.9,0.0,-1.6,'04-05
169,25,Milwaukee Bucks,82,30,52,0.366,48.2,97.2,36.1,80.2,45.0,4.0,11.3,35.1,21.0,27.2,77.2,12.0,29.3,41.3,21.0,13.8,6.5,3.5,4.5,21.9,0.1,-3.0,'04-05
170,26,Portland Trail Blazers,82,27,55,0.329,48.1,92.9,35.3,78.3,45.1,5.1,14.2,36.2,17.2,23.7,72.5,11.8,29.3,41.1,21.0,16.0,7.1,6.6,5.0,20.8,0.1,-4.0,'04-05
171,27,Utah Jazz,82,26,56,0.317,48.2,93.0,34.5,76.8,44.9,3.0,9.3,32.8,21.0,27.7,75.7,12.8,27.4,40.1,22.3,15.8,6.6,4.6,5.8,26.7,0.0,-4.3,'04-05
172,28,Charlotte Bobcats,82,18,64,0.22,48.5,94.3,36.1,83.6,43.2,3.9,10.7,36.3,18.1,25.6,70.9,13.2,28.5,41.7,21.9,14.5,8.5,5.4,5.4,23.1,0.0,-6.0,'04-05
173,28,New Orleans Hornets,82,18,64,0.22,48.6,88.4,33.1,80.0,41.5,5.1,16.0,31.5,17.1,22.3,76.6,12.4,27.8,40.2,21.0,14.8,6.7,3.8,5.5,23.0,0.0,-7.1,'04-05
174,30,Atlanta Hawks,82,13,69,0.159,48.4,92.7,35.9,81.4,44.1,3.7,11.9,31.2,17.3,24.3,71.1,13.4,28.5,41.9,19.7,16.1,7.7,4.2,5.9,24.5,0.0,-9.7,'04-05
175,1,Detroit Pistons,82,64,18,0.78,48.4,96.8,36.4,80.0,45.5,6.8,17.7,38.4,17.3,23.8,72.7,11.9,28.6,40.5,24.0,11.4,7.1,6.0,3.5,18.5,20.9,6.7,'05-06
176,2,San Antonio Spurs,82,63,19,0.768,48.3,95.6,36.5,77.3,47.2,6.4,16.6,38.5,16.2,23.1,70.2,10.4,31.1,41.5,20.9,13.7,6.6,5.7,4.2,20.9,20.6,6.8,'05-06
177,3,Dallas Mavericks,82,60,22,0.732,48.5,99.1,36.0,77.7,46.2,5.1,13.6,37.4,22.2,28.3,78.3,12.6,29.6,42.2,18.0,13.6,7.2,6.0,4.9,22.4,23.6,6.1,'05-06
178,4,Phoenix Suns,82,54,28,0.659,48.7,108.4,41.8,87.4,47.9,10.2,25.6,39.9,14.5,18.0,80.6,9.5,32.3,41.8,26.6,13.3,6.7,5.0,3.4,20.5,19.8,5.5,'05-06
179,5,Miami Heat,82,52,30,0.634,48.2,99.9,37.1,77.5,47.8,6.1,17.6,34.5,19.7,28.2,70.0,10.5,32.6,43.1,20.6,14.5,6.4,5.4,3.6,22.8,23.6,3.9,'05-06
180,6,Cleveland Cavaliers,82,50,32,0.61,48.4,97.6,35.5,78.2,45.4,6.1,17.9,33.9,20.6,28.3,72.9,11.7,30.6,42.3,19.0,13.9,6.9,4.8,4.4,21.1,22.5,2.2,'05-06
181,7,Memphis Grizzlies,82,49,33,0.598,48.4,92.2,33.5,74.7,44.8,7.2,19.2,37.4,18.0,25.3,71.1,10.2,29.0,39.2,19.3,13.8,7.3,5.4,5.6,21.4,22.8,3.7,'05-06
182,7,New Jersey Nets,82,49,33,0.598,48.2,93.8,33.9,77.0,44.0,5.8,17.6,33.0,20.2,26.7,75.8,10.0,31.0,41.0,23.0,13.6,6.8,3.4,4.0,23.2,23.0,1.4,'05-06
183,9,Los Angeles Clippers,82,47,35,0.573,48.3,97.2,36.5,78.6,46.5,3.5,10.3,34.4,20.7,26.1,79.1,10.1,33.0,43.1,20.8,14.5,6.5,6.1,4.3,22.8,21.7,1.6,'05-06
184,10,Los Angeles Lakers,82,45,37,0.549,48.4,99.4,36.5,80.6,45.3,6.7,19.3,34.9,19.7,26.5,74.5,11.8,30.3,42.2,21.1,13.9,7.7,4.3,4.3,23.1,23.5,2.5,'05-06
185,11,Denver Nuggets,82,44,38,0.537,48.6,100.3,37.5,81.4,46.1,4.3,13.1,32.5,21.0,28.2,74.4,11.0,30.3,41.3,23.4,14.8,8.5,5.6,5.3,22.7,23.3,0.2,'05-06
186,11,Sacramento Kings,82,44,38,0.537,48.4,98.9,36.0,79.3,45.4,6.0,17.2,35.1,20.8,26.5,78.4,10.4,30.2,40.5,22.3,14.6,7.4,3.6,4.9,20.4,22.8,1.5,'05-06
187,13,Washington Wizards,82,42,40,0.512,48.4,101.7,36.3,81.2,44.7,6.1,17.0,35.7,23.0,30.4,75.7,12.6,28.6,41.2,18.6,13.9,8.0,4.1,4.2,22.6,25.0,1.9,'05-06
188,14,Chicago Bulls,82,41,41,0.5,48.5,97.8,36.6,82.2,44.6,6.8,18.0,37.9,17.7,24.0,73.8,11.0,31.7,42.8,22.0,14.9,6.2,4.2,5.1,24.9,23.0,0.6,'05-06
189,14,Indiana Pacers,82,41,41,0.5,48.1,93.9,34.0,76.5,44.4,6.5,18.7,34.9,19.4,26.3,73.7,11.0,31.2,42.2,19.9,15.3,7.3,5.0,4.9,22.2,22.0,1.9,'05-06
190,14,Utah Jazz,82,41,41,0.5,48.5,92.4,33.5,75.7,44.2,3.8,11.3,33.6,21.6,30.1,71.9,13.1,29.0,42.1,21.6,15.7,6.4,6.0,5.6,24.8,25.7,-2.6,'05-06
191,17,Milwaukee Bucks,82,40,42,0.488,48.4,97.8,36.3,80.1,45.3,6.2,16.3,38.0,19.0,25.8,73.8,11.3,29.9,41.2,21.6,14.6,7.3,3.3,5.0,23.2,23.6,-1.0,'05-06
192,18,New Orleans/Oklahoma City Hornets,82,38,44,0.463,48.3,92.8,34.5,78.4,44.0,3.7,10.8,33.9,20.1,26.5,75.8,11.2,29.0,40.2,18.5,13.4,7.5,3.8,5.3,21.8,23.3,-2.8,'05-06
193,18,Philadelphia 76ers,82,38,44,0.463,48.5,99.4,36.6,79.8,45.8,4.6,12.6,36.4,21.6,28.4,76.0,10.6,29.6,40.2,20.2,14.1,7.9,4.9,4.7,20.9,23.1,-2.0,'05-06
194,20,Orlando Magic,82,36,46,0.439,48.5,94.9,35.5,75.2,47.2,3.6,9.7,37.6,20.3,27.8,73.0,10.9,29.3,40.2,18.2,15.1,6.5,4.4,4.7,23.3,23.2,-1.1,'05-06
195,21,Seattle SuperSonics,82,35,47,0.427,48.4,102.6,37.5,81.8,45.9,7.4,19.9,37.1,20.1,25.7,78.5,12.4,27.2,39.6,20.7,14.7,7.6,3.7,4.9,23.6,22.2,-3.0,'05-06
196,22,Golden State Warriors,82,34,48,0.415,48.4,98.5,35.8,82.7,43.3,7.6,22.3,34.1,19.2,26.7,71.8,12.0,30.3,42.3,20.7,14.1,7.4,4.3,5.0,23.7,23.4,-1.4,'05-06
197,22,Houston Rockets,82,34,48,0.415,48.4,90.1,33.0,76.2,43.3,5.7,17.2,33.2,18.3,24.1,75.9,10.4,31.3,41.6,19.3,14.5,7.2,3.9,4.5,22.7,20.9,-1.6,'05-06
198,24,Boston Celtics,82,33,49,0.402,48.5,98.0,36.0,77.1,46.7,5.7,15.7,36.2,20.3,26.9,75.5,9.9,29.7,39.6,20.9,16.6,7.0,5.1,4.9,24.8,22.4,-1.5,'05-06
199,24,Minnesota Timberwolves,82,33,49,0.402,48.4,91.7,35.2,77.3,45.6,3.8,11.5,32.9,17.5,23.1,75.8,9.9,29.5,39.4,20.9,14.5,6.8,5.7,4.6,23.0,21.2,-1.9,'05-06
200,26,Toronto Raptors,82,27,55,0.329,48.7,101.1,36.7,81.0,45.4,7.4,19.8,37.5,20.2,25.5,79.1,10.5,27.9,38.5,19.4,13.1,6.5,3.3,4.4,24.0,22.4,-3.0,'05-06
201,27,Atlanta Hawks,82,26,56,0.317,48.5,97.2,35.9,79.2,45.4,5.2,14.1,36.7,20.2,26.9,75.0,13.0,27.2,40.3,19.8,15.7,7.2,4.8,5.1,25.0,22.6,-4.8,'05-06
202,27,Charlotte Bobcats,82,26,56,0.317,48.5,96.9,36.1,83.5,43.3,5.2,15.4,33.9,19.4,26.7,72.9,12.1,27.7,39.8,20.9,14.2,10.0,4.3,5.4,23.9,23.5,-4.0,'05-06
203,29,New York Knicks,82,23,59,0.28,48.6,95.6,34.4,75.7,45.5,3.9,10.8,36.2,22.9,31.5,72.6,12.6,28.8,41.4,17.9,17.7,6.8,3.3,5.3,26.3,25.0,-6.4,'05-06
204,30,Portland Trail Blazers,82,21,61,0.256,48.1,88.8,34.0,76.4,44.5,4.4,12.7,34.9,16.3,23.7,68.9,10.8,26.9,37.7,18.2,14.7,6.5,5.3,4.9,22.3,20.8,-9.5,'05-06
205,1,Dallas Mavericks,82,67,15,0.817,48.2,100.0,36.7,78.6,46.7,6.5,17.1,38.1,20.1,24.9,80.5,11.2,30.7,41.9,19.9,13.9,6.8,5.0,3.8,22.4,22.1,7.2,'06-07
206,2,Phoenix Suns,82,61,21,0.744,48.5,110.2,41.3,83.6,49.4,9.6,24.0,39.9,18.0,22.3,80.8,9.0,31.5,40.5,25.9,14.5,6.7,4.8,3.7,20.2,21.5,7.3,'06-07
207,3,San Antonio Spurs,82,58,24,0.707,48.2,98.5,36.6,77.2,47.4,7.3,19.0,38.1,18.1,24.1,75.1,9.3,31.4,40.7,22.1,13.9,7.2,5.1,4.1,19.4,21.2,8.4,'06-07
208,4,Detroit Pistons,82,53,29,0.646,48.5,96.0,35.9,79.1,45.4,5.5,15.9,34.4,18.8,24.2,77.4,11.6,29.0,40.5,21.6,12.2,7.1,5.8,3.5,20.4,20.3,4.2,'06-07
209,5,Houston Rockets,82,52,30,0.634,48.4,97.0,35.4,79.6,44.5,8.6,23.1,37.2,17.5,23.2,75.3,10.7,32.6,43.3,20.8,14.2,7.1,4.1,4.3,20.9,19.9,4.9,'06-07
210,6,Utah Jazz,82,51,31,0.622,48.3,101.5,37.4,78.9,47.4,4.3,12.9,33.5,22.3,30.0,74.3,12.6,30.0,42.5,24.7,15.6,7.0,4.1,5.3,25.2,24.5,2.9,'06-07
211,7,Cleveland Cavaliers,82,50,32,0.61,48.5,96.8,36.3,81.2,44.7,6.0,17.1,35.2,18.1,26.0,69.6,12.7,30.8,43.5,20.8,14.4,7.6,4.3,4.3,21.7,22.0,3.8,'06-07
212,8,Chicago Bulls,82,49,33,0.598,48.2,98.8,37.1,81.3,45.7,5.9,15.1,38.8,18.6,25.4,73.4,12.0,31.7,43.7,22.3,16.0,7.8,5.4,5.3,23.3,23.2,5.0,'06-07
213,9,Toronto Raptors,82,47,35,0.573,48.2,99.5,37.0,79.8,46.3,6.5,17.9,36.3,19.0,24.2,78.8,9.2,30.2,39.5,22.2,13.5,7.1,3.9,3.9,20.4,21.8,1.0,'06-07
214,10,Denver Nuggets,82,45,37,0.549,48.2,105.4,38.6,83.0,46.5,5.9,17.6,33.6,22.3,29.9,74.6,12.2,31.2,43.4,23.4,16.5,8.3,5.3,5.2,21.4,23.7,1.6,'06-07
215,11,Miami Heat,82,44,38,0.537,48.4,94.6,35.6,76.7,46.4,6.4,18.8,34.3,17.0,24.6,69.0,10.0,30.8,40.8,20.5,14.6,6.9,5.4,3.8,21.3,21.8,-0.9,'06-07
216,12,Golden State Warriors,82,42,40,0.512,48.2,106.5,39.8,86.0,46.3,8.5,24.0,35.6,18.5,25.8,71.7,11.5,29.9,41.4,23.8,16.0,9.1,5.7,4.9,23.6,22.3,-0.3,'06-07
217,12,Los Angeles Lakers,82,42,40,0.512,48.9,103.3,37.8,81.3,46.6,7.4,21.0,35.3,20.2,27.1,74.7,10.8,30.4,41.2,22.6,15.5,7.3,5.1,5.0,23.0,23.4,-0.1,'06-07
218,14,New Jersey Nets,82,41,41,0.5,48.5,97.6,35.5,77.8,45.7,7.4,20.4,36.3,19.1,26.3,72.7,10.0,30.8,40.8,23.9,14.8,6.1,3.3,4.5,22.8,23.0,-0.8,'06-07
219,14,Washington Wizards,82,41,41,0.5,48.4,104.3,37.4,83.2,45.0,6.8,19.7,34.8,22.6,29.6,76.5,12.2,29.0,41.2,20.2,13.8,7.7,4.6,4.6,22.2,23.5,-0.5,'06-07
220,16,Los Angeles Clippers,82,40,42,0.488,48.1,95.6,35.1,77.0,45.6,3.8,11.0,34.8,21.6,27.4,78.8,10.8,30.3,41.1,21.5,15.1,7.3,5.8,3.9,22.7,22.3,-0.5,'06-07
221,16,Orlando Magic,82,40,42,0.488,48.2,94.8,35.1,74.3,47.2,4.2,11.7,35.6,20.5,29.2,70.2,11.2,29.5,40.7,18.6,17.0,6.9,5.1,4.6,23.2,23.4,0.8,'06-07
222,18,New Orleans/Oklahoma City Hornets,82,39,43,0.476,48.5,95.5,36.2,81.4,44.5,5.5,15.3,36.2,17.5,23.7,74.0,12.5,30.6,43.1,18.7,14.5,6.4,4.2,4.8,19.8,21.1,-1.6,'06-07
223,19,Indiana Pacers,82,35,47,0.427,48.2,95.6,35.0,80.0,43.8,5.9,16.9,34.6,19.7,25.9,76.0,12.1,29.8,41.8,20.5,16.3,7.3,5.5,5.0,23.3,23.7,-2.4,'06-07
224,19,Philadelphia 76ers,82,35,47,0.427,48.5,94.9,35.8,78.1,45.8,3.5,10.0,34.5,20.0,26.0,76.7,11.0,28.7,39.7,20.4,15.3,7.2,4.8,3.9,20.4,22.0,-3.0,'06-07
225,21,Charlotte Bobcats,82,33,49,0.402,48.8,96.9,36.1,81.0,44.6,5.6,15.6,35.7,19.1,26.0,73.4,11.2,28.6,39.8,22.4,14.9,7.8,4.5,5.3,24.2,21.8,-3.7,'06-07
226,21,New York Knicks,82,33,49,0.402,48.8,97.5,35.4,77.5,45.7,5.8,16.7,34.6,20.9,29.2,71.5,12.6,30.7,43.3,18.7,17.1,6.6,3.2,5.0,23.6,22.9,-2.9,'06-07
227,21,Sacramento Kings,82,33,49,0.402,48.3,101.3,35.9,79.7,45.0,6.5,18.5,35.0,23.1,30.2,76.5,9.7,29.2,38.9,20.3,14.6,8.2,3.2,4.9,21.9,24.3,-1.8,'06-07
228,24,Minnesota Timberwolves,82,32,50,0.39,48.8,96.1,36.5,79.3,46.1,4.7,13.3,35.3,18.3,23.1,79.2,10.0,30.2,40.1,22.5,15.6,6.5,4.0,4.4,21.4,20.5,-3.7,'06-07
229,24,Portland Trail Blazers,82,32,50,0.39,48.7,94.1,35.0,78.0,45.0,5.2,15.0,34.6,18.8,24.5,76.9,11.3,28.0,39.3,18.5,15.1,6.8,4.6,4.6,23.5,21.3,-4.3,'06-07
230,26,Seattle SuperSonics,82,31,51,0.378,48.4,99.1,37.2,80.8,46.0,6.4,17.7,36.2,18.4,23.3,79.1,11.3,28.3,39.6,20.7,15.5,7.7,3.7,4.2,22.0,19.9,-2.9,'06-07
231,27,Atlanta Hawks,82,30,52,0.366,48.5,93.7,34.5,77.7,44.4,4.2,12.7,32.9,20.5,26.9,76.1,11.9,28.2,40.1,19.2,15.9,7.4,5.4,5.1,24.0,22.6,-4.8,'06-07
